BESCHRIJVING DECLARATIE,REFERENTIE FACTUUR,DATUM FACTUUR - extracted,LEVERANCIER - EXTRACTED,BETAALD BEDRAG - extracted from invoice,VALUTA - extracted from invoice,BETAALD BEDRAG - declared ,LEVERANCIER - DECLARED,KOSTENRUBRIEK - declared,DATUM FACTUUR - DECLARED,DECLARATIEDATUM (can be assumed to be close to payment date),FLC: REDEN VERWERPING,double,late,amount,supplier,category,eligible,pred.double,latest,pred.late,pred.amount,pred.supplier,pred.category,pred.eligible
consulting fees for market analysis,INV-004,2018-04-25,Market Research Firm,3199.115852244762,euro ,3199.115852244762,Market Research Firm,external services,2018-04-25,2018-07-31,,0,0,0,0,0,0,0,2018-10-25,0,0,0,0,0
legal advice for contract drafting,INV-005,2021-12-28,Law Firm,1623.237397892746,euro ,1623.237397892746,Law Firm,external services,2021-12-28,2022-02-03,,0,0,0,0,0,0,0,2022-06-28,0,0,0,0,0
purchase of specialized laboratory equipment,INV-006,2021-05-08,Scientific Equipment Co,5002.334202004191,euro ,5002.334202004191,Scientific Equipment,equipment,2021-05-08,2021-10-18,,0,0,0,0,0,0,0,2021-11-08,0,0,0,0,0
acquisition of software licenses,INV-007,2019-06-17,Software Company,1052.141321213798,euro ,1052.141321213798,Software Company,external services,2019-06-17,2019-12-14,,0,0,0,0,0,0,0,2019-12-17,0,0,0,1,0
construction of a prototype demonstration facility,INV-008,2018-11-23,Construction Company,10804.97913711386,euro ,10804.97913711386,Construction Company,infrastructure and building,2018-11-23,2019-05-05,,0,0,0,0,0,0,0,2019-05-23,0,0,0,0,0
renovation of existing laboratory space,INV-009,2021-03-29,Renovation Company,5323.853979787225,euro ,5323.853979787225,Renovation Company,infrastructure and building,2021-03-29,2021-06-18,,0,0,0,0,0,0,0,2021-09-29,0,0,0,0,0
train tickets for attending project site visits,INV-011,2020-05-29,Train Company,312.9922459363434,euro ,312.9922459363434,Train Company,travel costs,2020-05-29,2020-08-08,,0,0,0,0,0,0,0,2020-11-29,0,0,0,0,0
graphic design services for project branding,INV-012,2018-04-21,Design Agency,873.4371799337882,euro ,873.4371799337882,Design Agency,external services,2018-04-21,2018-08-22,,0,0,0,0,0,0,0,2018-10-21,0,0,0,0,0
purchase of laboratory glassware,INV-013,2020-05-21,Lab Supplies Co,21.44049419567558,euro ,214.4049419567557,Lab Supplies Co,equipment,2020-05-21,2020-12-04,"please specify the correct invoiced amount | costs that are declared too late, can only be reimbursed for 50%",0,1,1,0,0,0,0,2020-11-21,1,1,0,0,0
installation of security cameras in project facility,INV-014,2020-02-15,Security Services Co,1505.548214506758,euro ,1505.548214506758,Security Services Co,equipment,2020-02-15,2020-08-20,"costs that are declared too late, can only be reimbursed for 50%",0,1,0,0,0,0,0,2020-08-15,1,0,0,1,0
parking fees for project team during site visits,INV-015,2021-11-23,Parking Facility,101.9175264001386,euro ,101.9175264001386,Parking Facility,travel costs,2021-11-23,2022-01-07,,0,0,0,0,0,0,0,2022-05-23,0,0,0,0,0
translation services for project documentation,INV-016,2018-09-07,Translation Agency,518.1380694587024,euro ,518.1380694587024,Translation Agency,external services,2018-09-07,2018-10-26,,0,0,0,0,0,0,0,2019-03-07,0,0,0,0,0
acquisition of drones for aerial data collection,INV-017,2019-03-27,Drone Manufacturer,320.7239743066677,euro ,3207.239743066677,Drone Manufacturer,equipment,2019-03-27,2019-05-31,please specify the correct invoiced amount,0,0,1,0,0,0,0,2019-09-27,0,1,0,0,0
purchase of construction materials for project site,INV-018,2021-12-11,Construction Supplier,2003.676186158477,euro ,2003.676186158477,Construction Supplier,infrastructure and building,2021-12-11,2022-05-27,,0,0,0,0,0,0,0,2022-06-11,0,0,0,0,0
plane tickets for two researchers attending an international conference to present findings on renewable energy technologies.,INV-021,2021-03-14,Global Travel Agency,1827.852075810364,euro ,1827.852075810364,Global Travel Agency,travel costs,2021-02-14,2021-06-15,,0,0,0,0,0,0,0,2021-08-14,0,0,0,0,0
renovation costs for converting an old warehouse into a state-of-the-art research facility for studying climate change impacts.,INV-024,2022-03-12,Construction Enterprises,12668.07599684797,euro ,12668.07599684797,Construction Enterprises,infrastructure and building,2022-03-12,2022-05-02,,0,0,0,0,0,0,0,2022-09-12,0,0,0,0,0
reimbursement for mileage and parking fees incurred during site visits for monitoring progress of a community development project.,INV2024-001,2019-07-27,Local Transportation Co.,637.9716777199051,euro ,637.9716777199051,Local Transportation Co.,travel costs,2019-07-27,2019-10-07,,0,0,0,0,0,0,0,2020-01-27,0,0,0,0,0
book for data-science expert as relationship  gift,INV2024-002,2018-06-11,Data Analytics Consultants,20.35219219448092,euro ,20.35219219448092,Data Analytics Consultants,external services,2018-06-11,2018-07-07,purchase not eligible for subsidy,0,0,0,0,0,1,0,2018-12-11,0,0,0,0,1
procurement of high-resolution cameras for wildlife monitoring as part of a biodiversity conservation project in a national park.,INV2024-003,2018-07-01,CameraTech Supplies,8381.383754783745,dollar,7398.820404999774,CameraTech Supplies,equipment,2018-07-01,2018-11-15,,0,0,0,0,0,0,0,2019-01-01,0,0,0,0,0
